"SCENARIO_NAME","SCENARIO_BARLEY_PRICE","SCENARIO_HOPS_PRICE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","RETAIL_PRICE","BASELINE_COGS","SCENARIO_COGS","COGS_INCREASE_PCT","BASELINE_MARGIN_PCT","SCENARIO_MARGIN_PCT","MARGIN_EROSION_PCT","PRICING_ACTION","RECOMMENDED_PRICE"
"Moderate (+15%)",6.33,4.83,"BEER-001096","Demo Beer Product #96","BEER",35.75,23.48,24.46,4.2,34.3,31.6,2.8,"ABSORB",35.75
"Extreme (+75%)",9.63,7.35,"BEER-001096","Demo Beer Product #96","BEER",35.75,23.48,28.40,21.0,34.3,20.6,13.8,"FULL_REPRICE",39.93
"High Stress (+30%)",7.15,5.46,"BEER-001096","Demo Beer Product #96","BEER",35.75,23.48,25.44,8.4,34.3,28.8,5.5,"PARTIAL_PASS_THROUGH",36.93
"Baseline",5.50,4.20,"BEER-001097","Demo Beer Product #97","BEER",33.76,24.64,24.64,0.0,27.0,27.0,0.0,"ABSORB",33.76
"Crisis (+50%)",8.25,6.30,"BEER-001097","Demo Beer Product #97","BEER",33.76,24.64,28.33,15.0,27.0,16.1,10.9,"PARTIAL_PASS_THROUGH",35.97
"Moderate (+15%)",6.33,4.83,"BEER-001097","Demo Beer Product #97","BEER",33.76,24.64,25.75,4.5,27.0,23.7,3.3,"ABSORB",33.76
"Extreme (+75%)",9.63,7.35,"BEER-001097","Demo Beer Product #97","BEER",33.76,24.64,30.18,22.5,27.0,10.6,16.4,"FULL_REPRICE",38.47
"High Stress (+30%)",7.15,5.46,"BEER-001097","Demo Beer Product #97","BEER",33.76,24.64,26.85,9.0,27.0,20.5,6.6,"PARTIAL_PASS_THROUGH",35.09
"Baseline",5.50,4.20,"BEER-001098","Demo Beer Product #98","BEER",35.41,23.89,23.89,0.0,32.5,32.5,0.0,"ABSORB",35.41
"Crisis (+50%)",8.25,6.30,"BEER-001098","Demo Beer Product #98","BEER",35.41,23.89,27.62,15.6,32.5,22.0,10.5,"PARTIAL_PASS_THROUGH",37.65
"Moderate (+15%)",6.33,4.83,"BEER-001098","Demo Beer Product #98","BEER",35.41,23.89,25.02,4.7,32.5,29.4,3.2,"ABSORB",35.41
"Extreme (+75%)",9.63,7.35,"BEER-001098","Demo Beer Product #98","BEER",35.41,23.89,29.49,23.4,32.5,16.7,15.8,"FULL_REPRICE",40.17
"High Stress (+30%)",7.15,5.46,"BEER-001098","Demo Beer Product #98","BEER",35.41,23.89,26.13,9.4,32.5,26.2,6.3,"PARTIAL_PASS_THROUGH",36.75
"Baseline",5.50,4.20,"BEER-001099","Demo Beer Product #99","BEER",35.29,21.63,21.63,0.0,38.7,38.7,0.0,"ABSORB",35.29
"Crisis (+50%)",8.25,6.30,"BEER-001099","Demo Beer Product #99","BEER",35.29,21.63,25.20,16.5,38.7,28.6,10.1,"PARTIAL_PASS_THROUGH",37.43
"Moderate (+15%)",6.33,4.83,"BEER-001099","Demo Beer Product #99","BEER",35.29,21.63,22.70,5.0,38.7,35.7,3.0,"ABSORB",35.29
"Extreme (+75%)",9.63,7.35,"BEER-001099","Demo Beer Product #99","BEER",35.29,21.63,26.99,24.8,38.7,23.5,15.2,"FULL_REPRICE",39.85
"High Stress (+30%)",7.15,5.46,"BEER-001099","Demo Beer Product #99","BEER",35.29,21.63,23.77,9.9,38.7,32.6,6.1,"PARTIAL_PASS_THROUGH",36.58
